url;perfume;brand;country;gender;rating value;rating count;year;top;middle;base;perfumer1;perfumer2;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5;image_url
https://www.fragrantica.com/perfume/kkw-fragrance/opal-mood-70567.html;opal-mood;kkw-fragrance;USA;women;3.44;45;2021.0;bergamot, carambola (star fruit), melon, white currant;honeysuckle, jasmine, freesia;sandalwood, musk, white amber, cedar;unknown;;fruity;white floral;woody;powdery;sweet;https://fimgs.net/mdimg/perfume-thumbs/375x500.70567.jpg
https://www.fragrantica.com/perfume/laurent-mazzone-parfums/pure-sensual-orchid-69664.html;pure-sensual-orchid;laurent-mazzone-parfums;France;unisex;3.44;95;2021.0;almond, saffron, star anise, neroli, mandarin orange;orchid, vanilla, heliotrope, jasmine sambac, ylang-ylang, peony;amberwood, benzoin, white woods, oakmoss, white cedar extract, labdanum;unknown;;woody;amber;almond;floral;vanilla;https://fimgs.net/mdimg/perfume-thumbs/375x500.69664.jpg
https://www.fragrantica.com/perfume/liz-claiborne/curve-kicks-1779.html;curve-kicks;liz-claiborne;USA;women;3.44;188;2006.0;mandarin orange, melon, pear, cassia;passionfruit, peony, freesia, lily-of-the-valley;peach, vanilla, vetiver, cedar, sandalwood;unknown;;fruity;fresh;sweet;citrus;woody;https://fimgs.net/mdimg/perfume-thumbs/375x500.1779.jpg
https://www.fragrantica.com/perfume/lulu-castagnette/je-t-m-5024.html;je-t-m;lulu-castagnette;France;unisex;3.44;374;2005.0;litchi, peach, pomegranate;passionfruit, raspberry, lotus, rose;musk, vanilla, woodsy notes, cedar, amber;jérôme epinette;;fruity;sweet;tropical;fresh;floral;https://fimgs.net/mdimg/perfume-thumbs/375x500.5024.jpg
https://www.fragrantica.com/perfume/maissa-parfums/maissa-68580.html;maissa;maissa-parfums;Lebanon;unisex;3.44;27;2020.0;bergamot, coconut, clove;patchouli, guaiac wood, orchid;tonka bean, natural vanilla;unknown;;vanilla;woody;sweet;warm spicy;citrus;https://fimgs.net/mdimg/perfume-thumbs/375x500.68580.jpg
https://www.fragrantica.com/perfume/arabesque-perfumes/dion-73541.html;dion;arabesque-perfumes;UAE;unisex;3.44;63;2022.0;white flowers, cognac;iris;white musk, amber;dominique moellhausen;;powdery;musky;iris;amber;white floral;https://fimgs.net/mdimg/perfume-thumbs/375x500.73541.jpg
https://www.fragrantica.com/perfume/naomi-campbell/cat-deluxe-with-kisses-5843.html;cat-deluxe-with-kisses;naomi-campbell;USA;women;3.44;246;2009.0;pink pepper, red apple, black currant, clementine, cardamom, raspberry, bergamot, red currant;rose, peony, jasmine;vanilla, incense, tonka bean, vetiver;unknown;;fruity;sweet;soft spicy;floral;vanilla;https://fimgs.net/mdimg/perfume-thumbs/375x500.5843.jpg
https://www.fragrantica.com/perfume/pierre-guillaume-paris/private-collection-psychotrope-6364.html;private-collection-psychotrope;pierre-guillaume-paris;France;women;3.44;108;2009.0;cyclamen, violet;water notes, leather, jasmine;lilac, musk;pierre guillaume;;floral;fresh;aquatic;leather;powdery;https://fimgs.net/mdimg/perfume-thumbs/375x500.6364.jpg
https://www.fragrantica.com/perfume/the-body-shop/white-musk-white-hot-summer-5884.html;white-musk-white-hot-summer;the-body-shop;UK;women;3.44;64;2009.0;bergamot, violet leaf, pink pepper;heliotrope, orris root, carnation, rose;woodsy notes;unknown;;powdery;floral;iris;vanilla;woody;https://fimgs.net/mdimg/perfume-thumbs/375x500.5884.jpg
https://www.fragrantica.com/perfume/lanvin/lanvin-me-limited-edition-2015-39409.html;lanvin-me-limited-edition-2015;lanvin;France;women;3.44;27;2015.0;citruses;floral notes;peach, cedar, musk;unknown;;floral;citrus;fruity;fresh;sweet;https://fimgs.net/mdimg/perfume-thumbs/375x500.39409.jpg
https://www.fragrantica.com/perfume/vivamor-parfums/akoya-81644.html;akoya;vivamor-parfums;France;unisex;3.44;32;2022.0;italian lemon, grapefruit, pink pepper;african ginger, indian jasmine;incense, amber;chris maurice;;citrus;amber;warm spicy;white floral;soft spicy;https://fimgs.net/mdimg/perfume-thumbs/375x500.81644.jpg
